"genelist[, 1]",pvalues,padj
FBgn0266361,0.000243305,0.005819065
FBgn0266639,0.000243648,0.005819065
FBgn0040397,0.000263654,0.006256248
FBgn0266279,0.000278587,0.006568219
FBgn0034740,0.00028315,0.006633296
FBgn0039299,0.000290199,0.006725265
FBgn0267457,0.000290733,0.006725265
FBgn0034363,0.000299332,0.006795935
FBgn0263216,0.000298835,0.006795935
FBgn0266699,0.000296189,0.006795935
FBgn0031119,0.000319178,0.007158151
FBgn0047334,0.000317961,0.007158151
FBgn0265045,0.000328773,0.007328654
FBgn0040348,0.000335745,0.00743898
FBgn0264955,0.000351747,0.007746866
FBgn0265901,0.000357151,0.007819049
FBgn0004198,0.000366949,0.007929125
FBgn0036294,0.000368646,0.007929125
FBgn0267527,0.000367996,0.007929125
FBgn0264835,0.00038786,0.008293885
FBgn0034793,0.000397923,0.008435359
FBgn0266657,0.000399063,0.008435359
FBgn0267570,0.000401479,0.008437934
FBgn0034272,0.000418074,0.008736796
FBgn0013771,0.000426147,0.008855198
FBgn0026206,0.000461143,0.009098942
FBgn0029523,0.000462616,0.009098942
FBgn0033607,0.000462037,0.009098942
FBgn0036271,0.000443133,0.009098942
FBgn0039152,0.000459079,0.009098942
FBgn0039344,0.000445002,0.009098942
FBgn0052850,0.00045772,0.009098942
FBgn0260720,0.000450417,0.009098942
FBgn0263659,0.00044891,0.009098942
FBgn0264993,0.000460495,0.009098942
FBgn0003129,0.000466829,0.009132969
FBgn0030944,0.000495375,0.009640159
FBgn0039007,0.000502639,0.009730039
FBgn0265038,0.000509587,0.009742585
FBgn0266277,0.000511234,0.009742585
FBgn0266750,0.000506385,0.009742585
FBgn0003089,0.000515465,0.009772585
FBgn0266304,0.000525793,0.009917267
FBgn0031874,0.000529322,0.009932898
FBgn0039640,0.000538775,0.010058963
FBgn0266645,0.000545211,0.010127716
FBgn0267676,0.000547992,0.01012821
FBgn0036575,0.000564907,0.010311752
FBgn0263111,0.00057181,0.010311752
FBgn0266349,0.000566876,0.010311752
FBgn0267242,0.000571941,0.010311752
FBgn0267995,0.000565201,0.010311752
FBgn0261984,0.000589925,0.010584117
FBgn0034321,0.00060907,0.010874567
FBgn0005666,0.000613218,0.010895726
FBgn0040299,0.00062023,0.010967333
FBgn0031279,0.000625558,0.011008616
FBgn0038735,0.000628771,0.011012475
FBgn0032900,0.000658396,0.011436619
FBgn0035730,0.000659207,0.011436619
FBgn0053514,0.000664701,0.0114778
FBgn0039920,0.000674408,0.011591
FBgn0002715,0.000714061,0.012189291
FBgn0038273,0.000715847,0.012189291
FBgn0263627,0.000729189,0.012359248
FBgn0265725,0.000738779,0.012464356
FBgn0264446,0.000742296,0.012466504
FBgn0034454,0.000746518,0.012480427
FBgn0038402,0.000758648,0.012625827
FBgn0265525,0.000763645,0.012651736
FBgn0043455,0.000778417,0.012786245
FBgn0266843,0.000778716,0.012786245
FBgn0035113,0.000797134,0.012859025
FBgn0039664,0.00079571,0.012859025
FBgn0262570,0.000796505,0.012859025
FBgn0266202,0.000792982,0.012859025
FBgn0024996,0.00080186,0.012868281
FBgn0262614,0.000804705,0.012868281
FBgn0035094,0.000821262,0.013019837
FBgn0038533,0.000821179,0.013019837
FBgn0264823,0.000846424,0.013361152
FBgn0036977,0.000850212,0.013363582
FBgn0000022,0.000855674,0.013392214
FBgn0035769,0.000866367,0.013429043
FBgn0264876,0.000868981,0.013429043
FBgn0265311,0.000865397,0.013429043
FBgn0037301,0.000881241,0.013561521
FBgn0030675,0.000915476,0.013971463
FBgn0062413,0.000911813,0.013971463
FBgn0045800,0.000925414,0.01406477
FBgn0033696,0.000933167,0.014124231
FBgn0031217,0.000941154,0.014128839
FBgn0031771,0.000940818,0.014128839
FBgn0052594,0.000949406,0.014194771
FBgn0036994,0.000961723,0.014262979
FBgn0263378,0.000958285,0.014262979
FBgn0037231,0.000974034,0.014387542
FBgn0003415,0.001001425,0.014732962
FBgn0267534,0.001010355,0.014805126
FBgn0021906,0.001024314,0.01495011
FBgn0032139,0.001032093,0.015004108
FBgn0003486,0.00104445,0.01500597
FBgn0033985,0.001044914,0.01500597
FBgn0035722,0.001048541,0.01500597
FBgn0040208,0.001048204,0.01500597
FBgn0261089,0.001074271,0.015314605
FBgn0051040,0.001079905,0.015335491
FBgn0032217,0.001117529,0.015778222
FBgn0259483,0.001119662,0.015778222
FBgn0267988,0.001134399,0.015924878
FBgn0051211,0.001156721,0.015994058
FBgn0053092,0.001154338,0.015994058
