"","ACO.14.1","ACO.14.2","ACO.14.3","ACO.14.4","ACO.14.5","AO.14.1","AO.14.2","AO.14.3","AO.14.4","AO.14.5","CO.14.1","CO.14.2","CO.14.3","CO.14.4","CO.14.5","nCO.14.1","nCO.14.2","nCO.14.3","nCO.14.4","nCO.14.5"
"FBgn0000008",42.1298496712805,43.0549264641173,43.0384008293391,36.4309799995232,28.7003620441932,34.6214226861079,33.1664526012222,36.3164205017057,40.0618930902949,33.0105811257887,37.6943246393224,33.4152182235337,38.4008314454351,46.4382813054268,36.7657555333376,25.6954483993141,31.9865847978882,31.3239447319669,43.5941261673187,37.751355885047
"FBgn0000022",0,4.61302783544113,2.60838792905086,3.31190727268393,3.58754525552415,0,6.03026410931312,1.00878945838071,1.1128303636193,4.40141081677183,6.92344738273269,4.91400267993143,2.6182385076433,5.80478516317835,8.30194479785044,7.19472555180795,5.514928413429,4.8190684203026,7.26568769455312,6.60648727988322
"FBgn0000052",22.5345707544058,21.5274632320586,35.2132370421865,21.5273972724455,17.2202172265159,23.4203741700142,20.1008803643771,22.1933680843757,17.8052858179088,20.9067013796662,20.0010702167833,11.7936064318354,22.6914003995753,18.8655517803296,18.9758738236581,21.5841766554238,20.9567279710302,20.0794517512608,20.8888521218402,18.8756779425235
"FBgn0000053",36.2512659962181,27.6781670126468,37.8216249712374,43.0547945448911,38.027979708556,36.6579769617613,30.1513205465656,40.3515783352286,34.4977412721984,30.8098757174028,26.1552456681013,40.2948219754378,29.6733697532907,31.2007202520836,24.9058343935513,43.1683533108477,34.1925561632598,35.3398350822191,23.6134850072976,23.5945974281544
"FBgn0000063",38.2107938879055,32.2911948480879,50.8635646164917,43.0547945448911,54.5306878839671,44.804194064375,28.1412325101279,31.2724732098022,41.1747234539142,33.0105811257887,44.6177720220551,40.2948219754378,59.3467395065815,48.6150757416187,33.2077791914017,35.9736277590397,31.9865847978882,39.3557254324712,37.2366494345847,54.7394660333181
"FBgn0000064",3.91905578337493,6.15070378058818,11.7377456807288,6.62381454536786,12.1976538687821,5.09138568913352,5.02522009109427,6.05273675028429,7.78981254533511,7.7024689293507,10.7698070398064,7.86240428789029,13.0911925382165,17.4143554895351,11.8599211397863,9.25036142375307,15.4417995576012,11.2444929807061,11.8067425036488,11.3254067655141
"FBgn0000077",7.83811156674985,9.22605567088227,15.6503275743051,4.13988409085491,6.45758145994347,13.2376027917472,12.0605282186262,9.07910512542643,4.45132145447721,15.4049378587014,5.3849035199032,7.86240428789029,5.2364770152866,6.53038330857565,7.1159526838718,9.25036142375307,14.3388138749154,7.2286026304539,9.99032058001054,13.2129745597664
"FBgn0000083",163.620578955903,199.897872869116,174.761991246407,146.551896816264,177.224735622893,176.16194484402,153.771734787485,194.696365467478,163.586063452037,158.450789403786,157.700745940022,169.041692189641,150.985087274097,212.600256601407,217.03655685809,182.951592603116,172.065766498985,163.848326290288,123.516690807403,167.993533688459
"FBgn0000084",28.4131544294682,36.9042226835291,33.9090430776611,28.1512118178134,26.5478348908787,30.5483141348011,36.1815846558787,26.2285259178986,40.0618930902949,39.6126973509464,25.3859737366865,33.4152182235337,38.4008314454351,32.6519165428782,28.4638107354872,32.890173951122,36.3985275286314,33.7334789421182,30.8791727018508,21.707029633902
"FBgn0000108",15.6762231334997,7.68837972573523,10.4335517162034,12.4196522725647,10.7626357665725,9.16449424044034,14.070616255064,9.07910512542643,13.3539643634316,12.1038797461225,13.8468947654654,8.84520482387658,9.60020786135877,8.70717774476753,15.4178974817222,6.16690761583538,12.1328425095438,13.6540271908574,9.99032058001054,18.8756779425235
"FBgn0000115",15.6762231334997,13.8390835063234,10.4335517162034,12.4196522725647,9.32761766436279,25.4569284456676,22.1109684008148,14.12305241733,10.0154732725737,14.3045851545084,16.9239824911243,6.87960375190401,8.72746169214433,7.98157959937024,9.48793691182907,15.4172690395885,26.4716563844592,12.0476710507565,9.0821096181914,3.7751355885047
"FBgn0000117",8.81787551259358,7.68837972573523,6.52096982262714,9.1077449998808,5.02256335773381,6.10966282696022,11.0554842004074,5.04394729190357,4.45132145447721,7.7024689293507,5.3849035199032,11.7936064318354,7.8547155229299,12.335168471754,7.1159526838718,6.16690761583538,7.7208997788006,10.4413149106556,6.35747673273398,10.3816228683879
"FBgn0000137",7.83811156674985,7.68837972573523,1.30419396452543,9.1077449998808,2.15252715331449,3.05483141348011,5.02522009109427,7.061526208665,1.1128303636193,4.40141081677183,13.0776228340506,1.96560107197257,8.72746169214433,15.9631591987405,15.4178974817222,7.19472555180795,13.2358281922296,7.2286026304539,8.17389865637226,9.43783897126175
"FBgn0000147",16.6559870793434,13.8390835063234,23.4754913614577,21.5273972724455,22.9602896353546,19.3472656187074,14.070616255064,27.2373153762793,23.3694376360053,26.408464900631,16.1547105597096,16.7076091117669,20.073161891932,26.8471313796999,10.6739290258077,15.4172690395885,25.3686707017734,18.47309561116,29.9709617400316,17.9318940453973
"FBgn0000153",27.4333904836245,30.7535189029409,15.6503275743051,27.3232349996424,33.0054163508222,29.5300369969744,23.1160124190336,30.2636837514214,43.4003841811528,31.9102284215957,16.1547105597096,21.6216117916983,18.3276695535031,26.8471313796999,27.2778186215086,27.7510842712592,22.059713653716,23.2921640314626,26.3381178927551,19.8194618396497
"FBgn0000180",29.3929183753119,26.1404910674998,32.6048491131357,28.1512118178134,33.722925401927,26.4752055834943,24.1210564372525,34.2988415849443,22.256607272386,35.2112865341746,19.2317982853686,28.5012155436023,28.8006235840763,22.4935425073161,17.7898817096795,21.5841766554238,24.2656850190876,24.095342101513,19.0724301982019,21.707029633902
"FBgn0000241",137.166952418122,112.250343995734,99.1187413039325,144.067966361751,152.829427885329,137.467413606605,161.812086933235,154.344787132249,244.822679996246,117.737739348646,105.39025460382,93.3660509186972,132.657417720594,178.497143767734,130.45913253765,132.588513740461,132.358281922296,116.460820157313,127.14953465468,112.310283758015
"FBgn0000247",9.79763945843732,13.8390835063234,16.9545215388306,7.45179136353884,7.1750905110483,13.2376027917472,11.0554842004074,13.1142629589493,3.33849109085791,4.40141081677183,8.46199124556217,11.7936064318354,8.72746169214433,5.80478516317835,15.4178974817222,10.2781793597256,13.2358281922296,15.2603833309582,9.0821096181914,8.49405507413557
"FBgn0000250",70.5430041007487,64.5823896961759,61.2971163326951,81.1417281807562,69.5983779571685,85.5352795774431,102.514489858323,92.8086301710258,82.3494469078283,71.5229257725422,43.8485000906403,57.9852316231909,34.0371005993629,58.7734497771808,60.4855978129103,84.2810707497502,81.6209405187492,66.663779814186,39.9612823200422,44.3578431649302
"FBgn0000283",6.85834762090612,3.07535189029409,6.52096982262714,5.79583772719687,10.7626357665725,6.10966282696022,3.01513205465656,5.04394729190357,10.0154732725737,6.60211622515774,8.46199124556217,13.759207503808,5.2364770152866,7.98157959937024,4.74396845591454,6.16690761583538,7.7208997788006,5.62224649035303,9.0821096181914,9.43783897126175
"FBgn0000318",33.3119741586869,35.366546738382,39.1258189357628,23.1833509087875,27.2653439419835,37.6762540995881,29.1462765283468,24.2109470011372,37.8362323630563,25.308112196438,23.0781579424423,32.4324176875475,21.8186542303608,16.6887573441378,26.0918265075299,29.8067201432043,26.4716563844592,28.9144105218156,26.3381178927551,32.0886525022899
"FBgn0000319",16.6559870793434,7.68837972573523,9.12935775167799,6.62381454536786,5.74007240883864,13.2376027917472,4.02017607287542,4.03515783352286,3.33849109085791,3.30105811257887,4.61563158848846,6.87960375190401,12.2184463690021,8.70717774476753,9.48793691182907,5.13908967986282,12.1328425095438,8.03178070050433,8.17389865637226,8.49405507413557
"FBgn0000351",259.637445648589,289.083077687644,253.013629117933,245.081138178611,273.37094847094,288.172430004957,297.493029392781,251.188575136798,229.243054905576,218.970188134398,192.317982853686,237.837729708681,186.767680211889,165.436377150583,253.802312391428,242.565032889525,292.291205911737,259.42651662629,240.675904882072,192.53191501374
