"genelist[, 1]",pvalues,padj
FBgn0038129,0.000919171,0.011891205
FBgn0036922,0.000943769,0.012169
FBgn0267302,0.000947357,0.01217495
FBgn0265937,0.000955239,0.012235864
FBgn0036143,0.000973699,0.012390799
FBgn0042129,0.000971534,0.012390799
FBgn0037831,0.000977686,0.012401011
FBgn0035639,0.000994723,0.012576138
FBgn0037603,0.001013646,0.012773905
FBgn0051668,0.00102632,0.012891903
FBgn0263628,0.001035583,0.012966428
FBgn0034723,0.001040532,0.012986643
FBgn0267243,0.001064043,0.013237649
FBgn0034642,0.001080895,0.013277613
FBgn0051465,0.001077966,0.013277613
FBgn0051812,0.001075129,0.013277613
FBgn0266638,0.001078468,0.013277613
FBgn0263766,0.001090313,0.013351187
FBgn0027101,0.001095279,0.013369956
FBgn0264841,0.001108969,0.013494768
FBgn0052182,0.001125921,0.013658373
FBgn0011763,0.001164463,0.014082042
FBgn0265914,0.001175514,0.014171671
FBgn0263659,0.001179197,0.0141722
FBgn0062413,0.001184486,0.014191964
FBgn0264916,0.001216207,0.014527332
FBgn0261552,0.001230961,0.014658596
FBgn0021906,0.001244956,0.014722802
FBgn0037241,0.001253239,0.014722802
FBgn0052450,0.001257575,0.014722802
FBgn0263216,0.001262819,0.014722802
FBgn0266642,0.001259141,0.014722802
FBgn0267736,0.001258184,0.014722802
FBgn0268063,0.00125408,0.014722802
FBgn0039169,0.001270072,0.01476316
FBgn0030588,0.001277395,0.014804093
FBgn0003129,0.001289727,0.01490266
FBgn0003227,0.001329734,0.015140303
FBgn0027844,0.001325832,0.015140303
FBgn0031209,0.001316798,0.015140303
FBgn0034137,0.001327425,0.015140303
FBgn0266277,0.001319207,0.015140303
FBgn0029690,0.001340615,0.015219694
FBgn0030768,0.001351641,0.015278621
FBgn0038840,0.001353653,0.015278621
FBgn0052448,0.001386567,0.015604894
FBgn0002564,0.00141438,0.015872032
FBgn0019830,0.001420396,0.015893738
FBgn0000723,0.001448301,0.015961912
FBgn0003415,0.001446406,0.015961912
FBgn0024989,0.001451083,0.015961912
FBgn0030417,0.001440284,0.015961912
FBgn0035335,0.001450636,0.015961912
FBgn0038398,0.001439735,0.015961912
FBgn0032166,0.001466827,0.015967843
FBgn0037242,0.001462002,0.015967843
FBgn0265070,0.001468025,0.015967843
FBgn0265153,0.001455815,0.015967843
FBgn0053218,0.001510763,0.016386941
FBgn0267614,0.001517741,0.016416898
FBgn0031022,0.001547741,0.016657878
FBgn0037371,0.001548575,0.016657878
FBgn0031657,0.001553397,0.016663715
FBgn0039937,0.001564287,0.016729946
FBgn0266817,0.001568164,0.016729946
FBgn0262617,0.00159598,0.01698018
FBgn0264503,0.001604994,0.017029559
FBgn0038266,0.001638935,0.017342431
FBgn0034740,0.001649522,0.017407152
FBgn0036660,0.001675446,0.017632938
FBgn0002036,0.001693255,0.017726323
FBgn0263344,0.001693424,0.017726323
FBgn0051126,0.001719001,0.017945816
FBgn0000137,0.001777017,0.018501883
FBgn0023550,0.001820245,0.018758428
FBgn0024943,0.001820926,0.018758428
FBgn0085209,0.001818637,0.018758428
FBgn0267320,0.001812477,0.018758428
FBgn0036192,0.001838227,0.018886694
FBgn0040391,0.00188561,0.019322539
FBgn0025628,0.001900458,0.019423579
FBgn0027330,0.001916433,0.019535571
FBgn0259211,0.001925813,0.019579941
FBgn0033645,0.001932534,0.019594045
FBgn0263981,0.001940088,0.019594045
FBgn0267180,0.001942296,0.019594045
FBgn0050398,0.001964008,0.019761876
FBgn0033736,0.001978163,0.019853004
FBgn0030749,0.001994382,0.019964327
FBgn0038912,0.002003207,0.020000406
FBgn0263116,0.002008259,0.020000406
FBgn0260635,0.002038972,0.020254479
FBgn0051739,0.002046113,0.020273697
FBgn0051119,0.0020693,0.02045141
FBgn0263619,0.002084718,0.020551625
FBgn0025835,0.002100397,0.020565674
FBgn0031548,0.00211255,0.020565674
FBgn0038652,0.002112239,0.020565674
FBgn0052732,0.002099725,0.020565674
FBgn0264464,0.002104074,0.020565674
FBgn0026160,0.002161012,0.020984989
FBgn0021995,0.002167338,0.020994064
FBgn0033753,0.002178619,0.021050971
FBgn0038576,0.002211196,0.02131286
FBgn0003507,0.002226217,0.021404665
FBgn0032533,0.00223874,0.021472052
FBgn0085263,0.00225467,0.021571706
FBgn0263601,0.002265288,0.021585628
FBgn0266325,0.002267212,0.021585628
FBgn0032147,0.002298139,0.021826714
FBgn0085248,0.002316783,0.021950255
FBgn0017550,0.002323939,0.021964604
FBgn0267939,0.002352824,0.022183769
FBgn0029804,0.0023769,0.022356642
FBgn0267457,0.002407712,0.022591882
FBgn0001089,0.002425812,0.02260648
FBgn0010263,0.002420899,0.02260648
FBgn0262976,0.002426684,0.02260648
FBgn0263452,0.002434182,0.022622211
FBgn0028538,0.002461095,0.02281787
FBgn0038055,0.002488494,0.023017094
FBgn0031564,0.002509246,0.023154033
FBgn0030815,0.002541988,0.023400711
FBgn0260972,0.0025536,0.02345217
FBgn0015296,0.002576554,0.023607301
FBgn0033921,0.002598734,0.023712075
FBgn0039908,0.002600169,0.023712075
FBgn0263397,0.002617601,0.023815278
FBgn0052391,0.00263122,0.023883382
FBgn0038114,0.002669781,0.024177041
FBgn0035598,0.002698427,0.02432332
FBgn0266310,0.002692184,0.02432332
FBgn0020930,0.002727506,0.024528655
FBgn0264384,0.002764615,0.02480509
FBgn0031201,0.002785204,0.024875314
FBgn0034312,0.002785217,0.024875314
FBgn0039417,0.00279476,0.024903426
FBgn0050287,0.002820516,0.025075548
FBgn0035977,0.002844304,0.025206924
FBgn0039749,0.00284824,0.025206924
FBgn0034853,0.002874482,0.025324056
FBgn0035763,0.002873129,0.025324056
FBgn0037780,0.002923268,0.025641025
FBgn0266628,0.00292363,0.025641025
FBgn0035589,0.002959984,0.025860994
FBgn0266843,0.002961994,0.025860994
FBgn0000615,0.003034851,0.026261573
FBgn0029944,0.00302486,0.026261573
FBgn0033312,0.003029594,0.026261573
FBgn0250819,0.003022987,0.026261573
FBgn0026257,0.00306615,0.026415022
FBgn0265045,0.003065326,0.026415022
FBgn0034144,0.003091151,0.026571613
FBgn0036000,0.003119595,0.02669825
FBgn0260477,0.003115958,0.02669825
FBgn0034646,0.003128717,0.026717595
FBgn0037723,0.003140438,0.026759007
FBgn0035187,0.003158478,0.026795454
FBgn0265102,0.003155413,0.026795454
FBgn0032057,0.003220363,0.027221723
FBgn0033982,0.003229696,0.027221723
FBgn0264955,0.003229544,0.027221723
FBgn0016917,0.003273615,0.027472964
FBgn0265499,0.003272419,0.027472964
FBgn0266807,0.003338419,0.027956566
FBgn0031003,0.00336776,0.028021493
FBgn0034321,0.003361836,0.028021493
FBgn0038533,0.003354258,0.028021493
FBgn0267814,0.003406604,0.028284259
FBgn0052523,0.003425112,0.028377417
FBgn0050286,0.003467183,0.028664992
FBgn0263582,0.003482755,0.028732732
FBgn0267750,0.003497662,0.028794704
FBgn0013678,0.003510232,0.028837219
FBgn0001970,0.003593439,0.029422079
FBgn0265864,0.003604091,0.029422079
FBgn0266723,0.003598759,0.029422079
FBgn0039051,0.003627926,0.029492991
FBgn0051374,0.003623555,0.029492991
FBgn0053054,0.003657469,0.029671221
FBgn0085203,0.0037001,0.029954655
FBgn0039024,0.003712429,0.029992117
FBgn0036947,0.003727643,0.030052673
FBgn0015402,0.003786808,0.030329779
FBgn0016075,0.003774417,0.030329779
FBgn0030562,0.003791924,0.030329779
FBgn0263445,0.00379317,0.030329779
FBgn0038582,0.003814156,0.030435091
FBgn0013771,0.003833187,0.03052324
FBgn0029823,0.00384088,0.03052324
FBgn0032884,0.003854881,0.030572107
FBgn0264086,0.003894884,0.030764054
FBgn0266321,0.003891735,0.030764054
FBgn0266677,0.003919972,0.03089954
FBgn0038268,0.00395867,0.031141537
FBgn0031393,0.003976053,0.031152414
FBgn0267465,0.0039747,0.031152414
FBgn0267996,0.004002636,0.031297717
FBgn0051523,0.004034481,0.031483502
FBgn0023516,0.004168481,0.032334792
FBgn0035173,0.004162009,0.032334792
FBgn0036094,0.004153443,0.032334792
FBgn0264368,0.004195587,0.032480348
FBgn0039339,0.004261674,0.032926502
FBgn0039299,0.004276216,0.032973434
FBgn0015572,0.004354303,0.033225606
FBgn0027579,0.004360114,0.033225606
FBgn0029587,0.004335754,0.033225606
FBgn0032262,0.004335372,0.033225606
FBgn0034816,0.00434762,0.033225606
FBgn0051040,0.004336202,0.033225606
FBgn0265703,0.004465917,0.033965394
FBgn0051144,0.004528557,0.034374659
FBgn0035094,0.004560582,0.0345504
FBgn0032877,0.004572437,0.034572954
FBgn0036255,0.004612907,0.034811354
FBgn0030675,0.004665866,0.035107858
FBgn0034543,0.004670229,0.035107858
FBgn0263197,0.00468878,0.035179403
FBgn0026878,0.004700895,0.035202472
FBgn0039799,0.00475926,0.035517937
FBgn0266632,0.004761264,0.035517937
FBgn0037236,0.004789988,0.035595828
FBgn0266312,0.004782985,0.035595828
FBgn0039797,0.00479989,0.035601471
FBgn0036366,0.004842226,0.035847199
FBgn0083940,0.004895709,0.036174366
FBgn0031662,0.004917114,0.036263718
FBgn0028434,0.004968948,0.036507702
FBgn0034272,0.004968643,0.036507702
FBgn0031414,0.005016729,0.036789347
FBgn0025625,0.005037846,0.036805579
FBgn0037637,0.005032924,0.036805579
FBgn0086710,0.005052925,0.036846612
FBgn0266279,0.005085998,0.03701846
FBgn0085434,0.005139875,0.037340809
FBgn0025631,0.005168605,0.037472542
FBgn0266626,0.005177254,0.037472542
FBgn0038740,0.005216551,0.03765519
FBgn0040687,0.00522899,0.03765519
FBgn0267117,0.005231499,0.03765519
FBgn0002715,0.005299678,0.037831022
FBgn0004915,0.005267518,0.037831022
FBgn0039744,0.005297607,0.037831022
FBgn0041246,0.005291739,0.037831022
FBgn0259831,0.005304504,0.037831022
FBgn0267442,0.005452358,0.038814407
FBgn0002561,0.005495961,0.038840784
FBgn0010421,0.005470652,0.038840784
FBgn0035833,0.005488899,0.038840784
FBgn0264790,0.005491954,0.038840784
FBgn0039886,0.005510672,0.038874195
FBgn0261243,0.005535432,0.038978252
FBgn0002899,0.005582715,0.039200958
FBgn0261636,0.005587194,0.039200958
FBgn0030590,0.005658436,0.039487362
FBgn0038369,0.005654047,0.039487362
FBgn0050438,0.005640846,0.039487362
FBgn0035469,0.005687561,0.039619609
FBgn0259818,0.005729808,0.039842629
FBgn0267684,0.005746911,0.039890324
FBgn0051912,0.005757431,0.039892233
FBgn0035707,0.005793677,0.040072078
FBgn0034281,0.005901297,0.040729714
FBgn0038683,0.005909679,0.040729714
FBgn0262107,0.005976816,0.041119651
FBgn0030594,0.00600942,0.041271045
FBgn0033104,0.006029458,0.041335755
FBgn0038735,0.006053868,0.041430162
FBgn0011274,0.006120671,0.04174062
FBgn0051992,0.006119372,0.04174062
FBgn0034413,0.006152509,0.04188439
FBgn0086350,0.006200741,0.042139064
FBgn0041630,0.006245127,0.042366767
FBgn0263620,0.006269402,0.042457481
FBgn0039923,0.006282457,0.042472027
FBgn0032873,0.006332299,0.042573254
FBgn0050338,0.006323317,0.042573254
FBgn0262888,0.006328315,0.042573254
FBgn0267480,0.006341163,0.042573254
FBgn0033387,0.006365451,0.042662761
FBgn0036552,0.006379199,0.042681443
FBgn0039504,0.006404754,0.042778923
FBgn0031184,0.006457516,0.043057478
FBgn0033038,0.006479216,0.043128322
FBgn0031282,0.006510612,0.043263348
FBgn0051989,0.006527839,0.043303929
FBgn0034053,0.006578901,0.043568438
FBgn0265082,0.006759359,0.044687509
FBgn0035086,0.006804322,0.044908528
FBgn0043043,0.006838005,0.044978367
FBgn0052850,0.00683282,0.044978367
FBgn0267452,0.006850827,0.044986715
FBgn0014028,0.006873989,0.044987084
FBgn0037082,0.006863016,0.044987084
FBgn0036945,0.006889163,0.04501074
FBgn0033266,0.006904212,0.045033501
FBgn0037135,0.006972366,0.045401994
FBgn0050055,0.006989166,0.045435416
FBgn0032513,0.007020187,0.045561013
FBgn0031684,0.007128875,0.046032146
FBgn0031979,0.007140066,0.046032146
FBgn0034459,0.007127791,0.046032146
FBgn0267819,0.007112571,0.046032146
FBgn0259704,0.007152423,0.046035595
FBgn0266619,0.00716703,0.046053489
FBgn0031653,0.00721915,0.046281446
FBgn0031760,0.007232894,0.046281446
FBgn0035772,0.007250047,0.046281446
FBgn0037279,0.00723901,0.046281446
FBgn0030511,0.007294364,0.046488142
FBgn0003598,0.007306382,0.046488645
FBgn0265767,0.00732924,0.046558013
FBgn0032175,0.007349371,0.046592453
FBgn0053548,0.007358592,0.046592453
FBgn0265302,0.007507947,0.047460948
FBgn0030587,0.007548049,0.047560037
FBgn0053969,0.007541457,0.047560037
FBgn0024806,0.00758585,0.047720999
FBgn0038535,0.007651912,0.048058943
FBgn0004908,0.007711009,0.048352123
FBgn0037979,0.007781873,0.048718026
FBgn0005660,0.007863114,0.04914762
FBgn0266706,0.007893775,0.049237205
FBgn0267038,0.007902736,0.049237205
FBgn0032882,0.008024157,0.049785057
FBgn0038269,0.008008814,0.049785057
FBgn0266360,0.008029023,0.049785057
FBgn0033421,0.008042849,0.049791503
