"genelist[, 1]",pvalues,padj
FBgn0040354,6.59E-11,2.57E-07
FBgn0027570,1.33E-09,1.29E-06
FBgn0030559,1.16E-09,1.29E-06
FBgn0266275,1.26E-09,1.29E-06
FBgn0086906,2.27E-09,1.47E-06
FBgn0266144,2.13E-09,1.47E-06
FBgn0267035,6.39E-09,3.56E-06
FBgn0266382,3.37E-08,1.46E-05
FBgn0266654,3.12E-08,1.46E-05
FBgn0038447,5.22E-08,2.03E-05
FBgn0025394,5.89E-08,2.09E-05
FBgn0001977,6.91E-08,2.24E-05
FBgn0015034,8.62E-08,2.58E-05
FBgn0260720,1.04E-07,2.89E-05
FBgn0036433,1.22E-07,3.04E-05
FBgn0037613,1.33E-07,3.04E-05
FBgn0051286,1.27E-07,3.04E-05
FBgn0031219,1.49E-07,3.12E-05
FBgn0266813,1.52E-07,3.12E-05
FBgn0039920,1.70E-07,3.30E-05
FBgn0025833,2.09E-07,3.82E-05
FBgn0036977,2.24E-07,3.82E-05
FBgn0036991,2.29E-07,3.82E-05
FBgn0265169,2.36E-07,3.82E-05
FBgn0003285,3.95E-07,5.40E-05
FBgn0039152,4.13E-07,5.40E-05
FBgn0039359,3.95E-07,5.40E-05
FBgn0052576,4.16E-07,5.40E-05
FBgn0264993,3.48E-07,5.40E-05
FBgn0267605,4.00E-07,5.40E-05
FBgn0019982,4.64E-07,5.65E-05
FBgn0037301,4.60E-07,5.65E-05
FBgn0031710,5.33E-07,6.11E-05
FBgn0031808,5.34E-07,6.11E-05
FBgn0000449,5.84E-07,6.32E-05
FBgn0034454,5.71E-07,6.32E-05
FBgn0052647,6.44E-07,6.78E-05
FBgn0027498,8.05E-07,8.25E-05
FBgn0040353,9.14E-07,9.12E-05
FBgn0025644,9.85E-07,9.59E-05
FBgn0266159,1.04E-06,9.69E-05
FBgn0266819,1.04E-06,9.69E-05
FBgn0026620,1.09E-06,9.85E-05
FBgn0027376,1.11E-06,9.85E-05
FBgn0002922,1.29E-06,0.000109342
FBgn0035669,1.29E-06,0.000109342
FBgn0028658,1.47E-06,0.000122046
FBgn0036263,1.68E-06,0.000135955
FBgn0031220,1.86E-06,0.000146984
FBgn0035113,1.89E-06,0.000146984
FBgn0265001,1.99E-06,0.000151218
FBgn0267804,2.02E-06,0.000151218
FBgn0040299,2.42E-06,0.000177693
FBgn0035537,2.53E-06,0.000182122
FBgn0264822,2.62E-06,0.000185457
FBgn0034093,2.87E-06,0.000199548
FBgn0085236,3.04E-06,0.000207954
FBgn0267740,3.61E-06,0.000242266
FBgn0037933,3.75E-06,0.000247525
FBgn0261788,3.84E-06,0.000249138
FBgn0262570,4.24E-06,0.000270735
FBgn0034655,4.41E-06,0.000277284
FBgn0051410,4.56E-06,0.000281762
FBgn0017430,4.87E-06,0.000291661
FBgn0030739,4.86E-06,0.000291661
FBgn0261287,5.10E-06,0.000301147
FBgn0031361,5.33E-06,0.000305411
FBgn0052302,5.29E-06,0.000305411
FBgn0038394,5.87E-06,0.000331257
FBgn0038876,6.15E-06,0.000342169
FBgn0031518,6.50E-06,0.000356584
FBgn0264564,6.80E-06,0.000367949
FBgn0051055,6.93E-06,0.00036947
FBgn0025683,7.05E-06,0.000369971
FBgn0034611,7.13E-06,0.000369971
FBgn0266702,7.44E-06,0.000381221
FBgn0028491,7.88E-06,0.000398698
FBgn0265810,8.01E-06,0.000400043
FBgn0264328,9.70E-06,0.000478138
FBgn0264904,1.00E-05,0.000487036
FBgn0040001,1.01E-05,0.000487922
FBgn0267451,1.09E-05,0.000518931
FBgn0021750,1.12E-05,0.000527466
FBgn0031235,1.15E-05,0.000535137
FBgn0011659,1.17E-05,0.000537806
FBgn0031909,1.30E-05,0.000579937
FBgn0038389,1.31E-05,0.000579937
FBgn0040352,1.30E-05,0.000579937
FBgn0283451,1.33E-05,0.000579937
FBgn0038814,1.42E-05,0.000615158
FBgn0050404,1.50E-05,0.000640107
FBgn0032798,1.64E-05,0.000673375
FBgn0032957,1.64E-05,0.000673375
FBgn0036892,1.60E-05,0.000673375
FBgn0267758,1.62E-05,0.000673375
FBgn0030196,2.01E-05,0.000814205
FBgn0002948,2.10E-05,0.000841753
FBgn0023528,2.15E-05,0.000847088
FBgn0266629,2.14E-05,0.000847088
FBgn0036334,2.20E-05,0.000858358
FBgn0004426,2.29E-05,0.000881445
FBgn0266699,2.36E-05,0.000902252
FBgn0052690,2.42E-05,0.000915304
FBgn0039111,2.55E-05,0.000938693
FBgn0052594,2.53E-05,0.000938693
FBgn0266627,2.56E-05,0.000938693
FBgn0003447,2.61E-05,0.000949693
FBgn0050355,2.80E-05,0.001008196
FBgn0031301,3.01E-05,0.00107622
FBgn0035815,3.20E-05,0.001133282
FBgn0264272,3.34E-05,0.00117192
FBgn0011642,3.38E-05,0.00117373
FBgn0035031,3.48E-05,0.00120062
FBgn0266809,3.52E-05,0.001202677
FBgn0275432,3.72E-05,0.00125959
FBgn0264448,3.76E-05,0.001260161
FBgn0266051,3.79E-05,0.001260161
FBgn0033527,3.83E-05,0.00126413
FBgn0035842,4.02E-05,0.0013141
FBgn0030217,4.22E-05,0.001358382
FBgn0267534,4.21E-05,0.001358382
FBgn0036005,4.26E-05,0.001359351
FBgn0034261,4.32E-05,0.001367557
FBgn0063499,4.71E-05,0.00147498
FBgn0265081,4.77E-05,0.00147498
FBgn0267527,4.77E-05,0.00147498
FBgn0022343,5.00E-05,0.001533068
FBgn0264863,5.45E-05,0.001656798
FBgn0267554,5.69E-05,0.001717604
FBgn0264679,5.87E-05,0.001758825
FBgn0037547,5.96E-05,0.001770234
FBgn0034200,6.01E-05,0.001773927
FBgn0035923,6.20E-05,0.001815745
FBgn0039344,6.34E-05,0.001842421
FBgn0265508,6.39E-05,0.00184411
FBgn0034442,6.74E-05,0.001915051
FBgn0267995,6.71E-05,0.001915051
FBgn0039942,6.82E-05,0.001923108
FBgn0001083,6.91E-05,0.001935569
FBgn0086368,7.02E-05,0.001951718
FBgn0265726,7.37E-05,0.00203639
FBgn0267914,7.69E-05,0.002108295
FBgn0016715,7.83E-05,0.002133
FBgn0051973,8.04E-05,0.002175465
FBgn0025726,8.57E-05,0.002290447
FBgn0266361,8.59E-05,0.002290447
FBgn0027082,8.68E-05,0.002298852
FBgn0010905,8.91E-05,0.002344946
FBgn0037546,9.13E-05,0.002361474
FBgn0037761,9.15E-05,0.002361474
FBgn0262509,9.16E-05,0.002361474
FBgn0034532,9.54E-05,0.002405563
FBgn0036294,9.52E-05,0.002405563
FBgn0038870,9.58E-05,0.002405563
FBgn0267455,9.52E-05,0.002405563
FBgn0034196,9.69E-05,0.002419886
FBgn0015295,0.000104835,0.002594612
FBgn0267809,0.000105277,0.002594612
FBgn0001134,0.000110309,0.002659199
FBgn0024996,0.00010915,0.002659199
FBgn0050183,0.000110629,0.002659199
FBgn0082585,0.000109664,0.002659199
FBgn0014464,0.000113704,0.002709253
FBgn0024913,0.000115495,0.002709253
FBgn0027070,0.000114881,0.002709253
FBgn0267545,0.000114763,0.002709253
FBgn0267265,0.000119619,0.002789208
FBgn0000541,0.000127468,0.002932558
FBgn0039115,0.000126565,0.002932558
FBgn0264360,0.000128026,0.002932558
FBgn0051075,0.000129489,0.002948711
FBgn0265152,0.000133784,0.003028813
FBgn0015519,0.000135936,0.003049895
FBgn0283501,0.000136282,0.003049895
FBgn0000635,0.000140678,0.003112493
FBgn0030237,0.000139974,0.003112493
FBgn0026176,0.000141524,0.003113532
FBgn0033785,0.000148161,0.003229699
FBgn0035481,0.000149108,0.003229699
FBgn0052350,0.000150087,0.003229699
FBgn0266686,0.000150122,0.003229699
FBgn0001316,0.00015121,0.00323523
FBgn0011474,0.000155853,0.003316355
FBgn0266183,0.000157408,0.003331226
FBgn0050466,0.000159448,0.003356158
FBgn0260744,0.000161338,0.003377695
FBgn0036040,0.000171638,0.003574099
FBgn0033174,0.000183603,0.003802923
FBgn0037222,0.000187077,0.003854382
FBgn0022349,0.000189275,0.003879146
FBgn0030049,0.000193558,0.003946152
FBgn0031914,0.000200412,0.004064612
FBgn0265180,0.000201502,0.004065537
FBgn0034402,0.000206276,0.004088374
FBgn0035042,0.000204706,0.004088374
FBgn0263111,0.00020505,0.004088374
FBgn0263256,0.000206833,0.004088374
FBgn0267988,0.000208541,0.004101315
FBgn0265901,0.000211711,0.004142729
FBgn0038454,0.000213847,0.004163603
FBgn0053223,0.000226411,0.004386294
FBgn0033469,0.000235135,0.004532757
FBgn0267126,0.00023949,0.004593955
FBgn0263143,0.000255535,0.00487771
FBgn0005666,0.000259401,0.004927353
FBgn0037942,0.00026205,0.004953512
FBgn0266196,0.000269269,0.005065387
FBgn0031690,0.000273236,0.005115302
FBgn0004170,0.000276098,0.005118516
FBgn0031771,0.000277352,0.005118516
FBgn0267023,0.000276915,0.005118516
FBgn0265252,0.000280456,0.005127218
FBgn0266160,0.00027916,0.005127218
FBgn0264442,0.000282749,0.005144967
FBgn0036461,0.000287002,0.005198069
FBgn0029694,0.000290608,0.00523901
FBgn0265052,0.000296081,0.005288714
FBgn0266756,0.000295384,0.005288714
FBgn0038080,0.000298807,0.005313037
FBgn0263590,0.000301621,0.005338697
FBgn0040397,0.000303434,0.005346481
FBgn0003716,0.000308831,0.005417061
FBgn0267556,0.000313821,0.005479914
FBgn0265362,0.000320108,0.005564739
FBgn0030859,0.000321992,0.005572602
FBgn0267661,0.000331813,0.005717169
FBgn0004575,0.000342053,0.005867648
FBgn0037548,0.000347206,0.005929911
FBgn0264791,0.000354231,0.006023477
FBgn0051955,0.000358354,0.006066168
FBgn0263042,0.000359857,0.006066168
FBgn0036571,0.0003632,0.006096119
FBgn0037702,0.000385107,0.006436075
FBgn0037021,0.000388035,0.006448407
FBgn0052181,0.000389157,0.006448407
FBgn0037899,0.000403516,0.006658022
FBgn0051635,0.000406379,0.006676954
FBgn0031357,0.000421119,0.006890068
FBgn0039559,0.000430314,0.007011062
FBgn0030642,0.000443317,0.007192824
FBgn0034793,0.000449581,0.007264185
FBgn0032517,0.000457562,0.007332292
FBgn0037538,0.00045673,0.007332292
FBgn0261393,0.000460194,0.007344247
FBgn0038653,0.000465013,0.007390861
FBgn0036765,0.000478413,0.007511848
FBgn0051865,0.000475179,0.007511848
FBgn0085249,0.000477122,0.007511848
FBgn0035233,0.000485055,0.007585566
FBgn0039924,0.000496453,0.007732747
FBgn0036680,0.000512588,0.007946927
FBgn0267161,0.000514285,0.007946927
FBgn0029898,0.000517162,0.007959792
FBgn0265532,0.000537316,0.008237432
FBgn0267725,0.000549421,0.008389982
FBgn0010926,0.000558071,0.008488789
FBgn0033607,0.000567661,0.008601064
FBgn0000250,0.000578652,0.008704448
FBgn0053113,0.000578955,0.008704448
FBgn0261245,0.000583655,0.008707866
FBgn0266331,0.000581617,0.008707866
FBgn0086907,0.000595414,0.008846361
FBgn0265498,0.000597482,0.008846361
FBgn0041605,0.000607249,0.008956928
FBgn0010611,0.000626501,0.009185308
FBgn0026206,0.000628169,0.009185308
FBgn0265725,0.000629809,0.009185308
FBgn0267570,0.000654446,0.009508998
FBgn0264556,0.000667051,0.009656125
FBgn0029693,0.000671246,0.009658778
FBgn0037009,0.000674676,0.009658778
FBgn0266141,0.000673316,0.009658778
FBgn0264827,0.000684442,0.009762696
FBgn0265451,0.000697077,0.009906631
FBgn0003977,0.000704642,0.009977726
FBgn0003416,0.000720801,0.010132845
FBgn0014395,0.000720231,0.010132845
FBgn0030503,0.000728044,0.010161302
FBgn0265576,0.000726809,0.010161302
FBgn0036191,0.000731157,0.010168299
FBgn0032436,0.000743793,0.010307218
FBgn0044872,0.000748722,0.010338737
FBgn0039855,0.000758511,0.010400149
FBgn0040091,0.000758339,0.010400149
FBgn0264446,0.000764443,0.010444701
FBgn0035192,0.000770656,0.010485364
FBgn0052669,0.000772804,0.010485364
FBgn0005558,0.00078473,0.010610203
FBgn0266311,0.000792948,0.010647377
FBgn0266637,0.00079208,0.010647377
FBgn0046878,0.000802376,0.010700175
FBgn0267762,0.000800439,0.010700175
FBgn0031877,0.000824796,0.010924333
FBgn0267617,0.000823314,0.010924333
FBgn0263006,0.000831901,0.010981093
FBgn0011576,0.000856127,0.011262694
FBgn0266735,0.000870716,0.011416051
FBgn0051211,0.000890912,0.011641643
FBgn0063298,0.000897326,0.011686246
FBgn0035999,0.000905149,0.011748829
