"","ACO.21.1","ACO.21.2","ACO.21.3","ACO.21.4","ACO.21.5","AO.21.1","AO.21.2","AO.21.3","AO.21.4","AO.21.5","CO.21.1","CO.21.2","CO.21.3","CO.21.4","CO.21.5","nCO.21.1","nCO.21.2","nCO.21.3","nCO.21.4","nCO.21.5"
"FBgn0000008",42.7409968559303,40.725346527629,49.8455449402557,43.0517228755676,43.490795076367,34.6023409735879,44.1483145340578,37.9634811158127,33.7412933151237,37.0448402150578,41.600298637412,43.4895403539641,34.5858438546797,41.2801343296046,48.1845741071092,47.7950259278289,53.1854792594381,35.6527251382107,44.4881924912139,42.5794363506613
"FBgn0000052",25.4802096641123,27.9259519046599,32.2529996672243,23.6784475815622,31.0648536259765,26.9129318683462,22.0741572670289,32.6907754052832,13.8425818728713,24.3953825806478,14.1819199900268,23.815700670028,27.9347200364721,21.0612930253084,23.2615185344665,19.2721878741245,35.1565032392896,33.8243802593281,24.7156624951188,24.0666379373303
"FBgn0000053",30.4118631474889,30.2531145633815,33.2303632935038,33.3650852285649,41.7156605834541,57.6705682893132,42.8498346948208,30.5816931210713,32.0109705810148,27.1059806451642,44.4366826354174,38.3122141213493,29.2649448001136,32.8556171194812,43.1999629925806,42.398813323074,36.057952040297,51.1936566087128,32.6246744935568,42.5794363506613
"FBgn0000063",45.2068235976186,45.3796718450723,90.8948172439957,102.247841829473,54.1416020338447,55.1074319208993,63.6255121226128,72.7633388053077,97.7632344771533,109.327455268829,69.9641386174657,59.0215190518084,83.8041601094162,55.6018135868143,78.9230093133685,57.8165636223736,74.8202504836164,83.1896919891582,79.0901199843802,81.4563130186564
"FBgn0000064",8.21942247229429,6.98148797616496,9.77363626279524,10.7629307188919,7.98810521810823,5.12627273682784,10.387838713896,14.7635759894827,14.7077432399257,12.64945763441,15.1273813226953,11.3901177117525,17.2929219273398,13.4792275361974,9.13845370996898,5.39621260475487,19.8318736221634,15.5409314705021,9.88626499804753,18.512798413331
"FBgn0000077",8.21942247229429,9.30865063488662,9.77363626279524,5.38146535944595,12.4259414503906,23.0682273157253,10.387838713896,13.7090348473768,8.65161367054454,12.64945763441,4.72730666334228,3.10639573956886,1.33022476364153,7.58206548911104,3.32307407635236,16.9595253292296,8.11303920906684,10.9700692732956,4.94313249902376,4.62819960333275
"FBgn0000083",279.460364058006,308.349052280619,375.307632491337,350.871541435876,274.258279155049,183.264250341595,254.502048490451,293.162437505443,224.941955434158,269.252741075298,270.401941143178,302.355851984703,317.923718510325,361.411788314293,321.50741688709,249.767554848654,289.365065123384,276.994249150714,298.565202941035,313.79193310596
"FBgn0000084",31.2338053947183,27.9259519046599,45.9360904351376,46.2806020912351,30.17728637952,37.1654773420019,48.0437540517688,45.3452691105541,39.7974228845049,35.2377748387135,44.4366826354174,36.2412836283034,33.2556190910382,29.4858102354318,43.1999629925806,33.1481631434942,54.0869280604456,41.1377597748585,32.6246744935568,32.3973972233292
"FBgn0000097",18.0827294390474,6.98148797616496,4.88681813139762,4.30517228755676,23.0767484078682,14.0972500262766,9.08935887465896,14.7635759894827,7.78645230349009,4.5176634408607,7.56369066134764,3.10639573956886,3.99067429092458,5.89716204708637,8.30768519088089,3.85443757482491,5.40869280604456,2.7425173183239,4.94313249902376,6.47947944466585
"FBgn0000108",12.3291337084414,9.30865063488662,15.6378180204724,17.220689150227,7.98810521810823,14.0972500262766,11.686318553133,12.6544937052709,16.4380659740346,15.3600556989264,10.400074659353,5.17732623261477,7.98134858184916,13.4792275361974,8.30768519088089,10.7924252095097,6.31014160705198,12.7984141521782,14.8293974970713,7.4051193653324
"FBgn0000115",17.260787191818,11.6358132936083,17.5925452730314,10.7629307188919,13.3135086968471,16.6603863946905,18.1787177493179,22.1453639842241,11.2470977717079,13.5529903225821,11.3455359920215,9.31918721870659,5.32089905456611,18.5339378622714,4.15384259544045,16.1886378142646,9.01448801007426,11.8842417127369,22.7384094955093,15.7358786513313
