"","d14","d17","d20","d23","d26","d29","d32","d35"
"1","FBgn0001977","FBgn0001977","FBgn0003285","FBgn0000635","FBgn0003415","FBgn0003415","FBgn0003415","FBgn0026878"
"2","FBgn0003415","FBgn0003285","FBgn0003415","FBgn0003415","FBgn0010926","FBgn0032147","FBgn0010926","FBgn0037386"
"3","FBgn0024989","FBgn0025644","FBgn0024989","FBgn0004198","FBgn0030956","FBgn0034646","FBgn0033607","FBgn0052576"
"4","FBgn0040352","FBgn0038447","FBgn0026176","FBgn0024989","FBgn0031957","FBgn0034655","FBgn0035113","FBgn0263659"
"5","FBgn0250824","FBgn0052576","FBgn0029639","FBgn0025644","FBgn0032147","FBgn0035113","FBgn0037301","FBgn0264904"
"6","FBgn0265725","0","FBgn0053092","FBgn0026176","FBgn0034655","FBgn0036723","FBgn0037386","FBgn0265053"
"7","FBgn0267151","0","FBgn0053517","FBgn0029639","FBgn0036723","FBgn0036947","FBgn0038912","0"
"8","FBgn0267228","0","0","FBgn0030859","FBgn0036947","FBgn0039640","FBgn0052576","0"
"9","0","0","0","FBgn0033607","FBgn0052576","FBgn0051506","FBgn0052732","0"
"10","0","0","0","FBgn0034027","FBgn0053092","FBgn0052576","FBgn0264904","0"
"11","0","0","0","FBgn0035113","FBgn0053517","FBgn0053092","FBgn0267661","0"
"12","0","0","0","FBgn0036723","FBgn0264328","FBgn0053517","0","0"
"13","0","0","0","FBgn0037301","FBgn0264904","FBgn0261552","0","0"
"14","0","0","0","FBgn0037921","FBgn0266144","FBgn0264904","0","0"
"15","0","0","0","FBgn0052576","FBgn0266651","FBgn0267661","0","0"
"16","0","0","0","FBgn0053092","FBgn0266677","FBgn0267808","0","0"
"17","0","0","0","FBgn0264328","FBgn0266813","0","0","0"
"18","0","0","0","FBgn0264904","0","0","0","0"
"19","0","0","0","FBgn0266160","0","0","0","0"
"20","0","0","0","FBgn0266813","0","0","0","0"
"21","0","0","0","FBgn0267527","0","0","0","0"
"22","0","0","0","FBgn0267661","0","0","0","0"
"23","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0","0"
"35","0","0","0","0","0","0","0","0"
"36","0","0","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0","0"
"38","0","0","0","0","0","0","0","0"
"39","0","0","0","0","0","0","0","0"
"40","0","0","0","0","0","0","0","0"
"41","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0"
